"United.Airlines.Aircraft.Operating.Statistics..Cost.Per.Block.Hour..Unadjusted.","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
NA,NA,2086.82587734051,2243.53222808089,2334.45972427397,2311.3631952382,2339.9922283743,2646.31289834487,2937.55025599179,2785.74857013786,2398.71267959648,2428.11089313489,2790.92704687086,3186.91788763571,3375.05577315298,4409.39644232854,3087.04482335966,3759.21670242387,4401.86562307472,4665.11048782061,4717.30994377979,4831.98937742597,3783.7542002952
NA,NA,1584.79829577307,1645.71441556478,1756.75899167481,1822.04835126917,1881.05805601145,1976.89539857255,2210.00516493325,2206.46785734453,1700.56863477703,1519.613112251,1484.05569577708,1634.96890481712,1770.35652887248,1773.61759001113,1803.07510899415,1982.02934896688,2149.83745650495,2173.16361463449,2397.28933876504,2624.49717149056,2349.44042646736
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,523.290951900437,548.660036550417,576.481887444172,594.555845500226,597.005136815044,670.058206882888,850.183750796651,904.620733605995,634.330475507346,528.334798817231,462.605525118089,462.33688204912,467.983791112205,515.546002921874,581.231284812189,565.702951215029,531.672153623214,615.496593034443,785.22102455574,913.935893158284,925.106758157209
NA,NA,388.037223904025,409.954613506873,444.071373504977,438.502447756044,437.396603766779,483.586074446651,552.690402669088,568.443809846486,370.530692491663,326.982059058685,291.5551187593,292.762727943502,295.843381460413,324.965431604341,354.000589576901,357.543677329701,366.698367796743,413.899261220874,528.158369570972,615.354148706978,648.890446880005
NA,NA,25.3257091602198,19.5669710786743,20.5334493317886,19.0101145161638,20.7530279007921,20.1023853158239,25.4596322601561,23.0219904326291,11.2977700166035,8.82423878714907,10.9053701475996,8.62548750922315,10.4869654781654,9.39952297391286,13.3989108342513,6.95070314875285,6.62936577492776,4.06572014841392,12.9069669275204,14.905527633639,22.0232233143862
NA,NA,69.7405538737527,76.1493235725716,66.9107228225525,90.6165757294744,88.7358975325908,114.998937480727,210.863718088243,259.332421771012,213.115163527454,157.705375065757,123.694530509616,120.617687361653,117.821928014734,134.658563779431,167.495694537105,155.784955176092,115.192419496195,172.548952507808,189.403427586967,198.070650081602,205.774188989731
NA,NA,40.1874649624397,42.9891283922973,44.9663417848544,46.4267074985443,50.1196076148815,51.3708096396861,61.1699977791638,53.8225115558675,39.3868494716252,34.8231259056406,36.4505057015738,40.3309792347423,43.8315161588935,46.5224845641894,46.3360898639319,45.4236155604835,43.1520005553483,24.9826591573469,54.7522604702808,85.6055667360647,48.4188989730867
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,562.817356205853,692.711679090487,665.367139417797,571.519765360478,543.730970584233,768.676772050471,796.166377220517,652.206706839944,769.766851749361,980.776206365454,1384.00453530657,1633.35195530726,1680.53353001321,2725.50857308061,1356.90192853707,1858.12679179686,2334.89303471794,2583.38938121819,2409.83023757296,2297.19567669088,1537.63618377665
NA,NA,502.02758156744,597.817812516114,577.700732599155,489.314843969031,458.934172362853,669.417499772317,727.545091058539,579.280712793333,698.14404481945,908.497780883886,1306.87135109378,1551.94898281859,1604.6992442805,2635.77885231742,1283.96971436551,1777.187353457,2252.02816656977,2491.94687318612,2320.02060501475,2207.49220593542,1434.31377382784
NA,NA,6.71196322457675,4.76239170125497,3.61777360489605,2.20837197265414,2.00439080456001,2.277625900545,6.18090199985875,16.6450876471205,9.43661999972028,5.85307305326448,5.23410967485979,4.37546115737325,3.76193276687521,1.94910062928106,3.04097559461934,4.13055016859423,3.29767534687573,9.46079521748115,1.57996105079852,1.60922334127963,2.10955311999498
NA,NA,54.0778114138356,90.131474873118,84.0486332137458,79.9965494187927,82.7924074168198,96.9816463776082,62.4403841621193,56.2809063994902,62.1861869301914,66.4253524283037,71.8990745379337,77.0275113312955,72.0723529658416,87.7806201339133,69.8912385769475,76.8088881712636,79.5671928012981,81.9817128145866,88.2296715074142,88.0942474141822,101.212856828816
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,551.637627536719,587.904975908364,695.752992200252,736.837111000884,787.646886185034,757.198368353862,807.88065004982,710.409557690601,593.617943763899,552.95872652931,613.912882546834,720.646147359545,833.327778416892,750.27577700393,712.131320497106,913.364223667779,1103.00379198737,961.415802476286,993.079505307938,1075.83122849555,774.160050874603
NA,NA,125.01222110102,122.838941313945,125.757256004858,129.106946451293,134.489294339666,133.367738719321,126.638717598978,158.238748658874,96.2203569651766,74.3047814023446,67.4690670606342,67.8549594181512,68.0233564525372,73.6309789698559,109.867655500908,161.199329402044,60.0356464167021,112.165966671361,110.534757368797,94.7919343320807,109.001601607889
NA,NA,85.3449938333894,100.329233428861,123.96818081977,147.992840043995,161.667030107671,140.583283136621,131.095706128061,82.0688431225446,66.0093866696504,70.0726031741812,68.6039573315294,74.042373774639,101.147502384134,87.2166250582064,52.300125672971,45.3291065965608,82.9634598196854,99.991181506962,82.6707962550386,91.9348151995205,57.3011336871526
